step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,184100,184100,1,184100
1,2,190281,95140,3,374381
2,2,187348,93674,5,561729
3,5,190982,38196,10,752711
4,6,189034,31505,16,941745
5,4,191680,47920,20,1133425
6,2,216471,108235,22,1349896
7,3,228585,76195,25,1578481
8,1,243319,243319,26,1821800
9,3,224391,74797,29,2046191
10,5,250098,50019,34,2296289
11,3,229714,76571,37,2526003
12,6,235089,39181,43,2761092
13,3,242051,80683,46,3003143
14,6,274288,45714,52,3277431
15,2,260731,130365,54,3538162
16,6,252873,42145,60,3791035
17,6,262100,43683,66,4053135
18,6,265437,44239,72,4318572
19,1,261010,261010,73,4579582
20,2,258563,129281,75,4838145
21,6,275888,45981,81,5114033
22,4,273383,68345,85,5387416
23,2,263450,131725,87,5650866
24,4,252304,63076,91,5903170
25,4,267255,66813,95,6170425
26,2,259032,129516,97,6429457
27,3,267819,89273,100,6697276
28,2,263402,131701,102,6960678
29,3,260593,86864,105,7221271
30,3,264787,88262,108,7486058
31,3,264511,88170,111,7750569
32,4,265107,66276,115,8015676
33,3,267250,89083,118,8282926
34,5,273025,54605,123,8555951
35,3,266819,88939,126,8822770
36,3,259875,86625,129,9082645
37,4,262155,65538,133,9344800
38,1,256847,256847,134,9601647
39,3,261375,87125,137,9863022
40,3,259288,86429,140,10122310
41,3,262490,87496,143,10384800
42,3,257484,85828,146,10642284
43,5,262333,52466,151,10904617
44,2,265181,132590,153,11169798
45,2,255727,127863,155,11425525
46,3,258176,86058,158,11683701
47,1,253047,253047,159,11936748
48,2,268643,134321,161,12205391
49,3,258394,86131,164,12463785
50,2,263694,131847,166,12727479
51,2,268194,134097,168,12995673
