step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,183061,183061,1,183061
1,2,191527,95763,3,374588
2,2,192566,96283,5,567154
3,5,192482,38496,10,759636
4,6,192643,32107,16,952279
5,3,190635,63545,19,1142914
6,5,190738,38147,24,1333652
7,3,198414,66138,27,1532066
8,2,223942,111971,29,1756008
9,1,214864,214864,30,1970872
10,3,251961,83987,33,2222833
11,2,253809,126904,35,2476642
12,5,228634,45726,40,2705276
13,3,254247,84749,43,2959523
14,3,239630,79876,46,3199153
15,4,273746,68436,50,3472899
16,1,260330,260330,51,3733229
17,3,253196,84398,54,3986425
18,3,254215,84738,57,4240640
19,6,268902,44817,63,4509542
20,3,273733,91244,66,4783275
21,6,262938,43823,72,5046213
22,1,235574,235574,73,5281787
23,5,254680,50936,78,5536467
24,6,272739,45456,84,5809206
25,1,272487,272487,85,6081693
26,3,257393,85797,88,6339086
27,6,256165,42694,94,6595251
28,2,253086,126543,96,6848337
29,2,263459,131729,98,7111796
30,4,265176,66294,102,7376972
31,4,258242,64560,106,7635214
32,6,269322,44887,112,7904536
33,4,265614,66403,116,8170150
34,6,265213,44202,122,8435363
35,5,270613,54122,127,8705976
36,3,240261,80087,130,8946237
37,6,267931,44655,136,9214168
38,2,264920,132460,138,9479088
39,3,261757,87252,141,9740845
40,1,274782,274782,142,10015627
41,2,256943,128471,144,10272570
42,4,272760,68190,148,10545330
43,6,272469,45411,154,10817799
44,3,259357,86452,157,11077156
45,5,264992,52998,162,11342148
46,2,271665,135832,164,11613813
47,2,259891,129945,166,11873704
48,3,262696,87565,169,12136400
49,5,268000,53600,174,12404400
50,4,257612,64403,178,12662012
51,2,260167,130083,180,12922179
52,3,256847,85615,183,13179026
53,4,260173,65043,187,13439199
54,4,270177,67544,191,13709376
55,3,273820,91273,194,13983196
56,2,271330,135665,196,14254526
57,4,288316,72079,200,14542842
