step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,185966,185966,1,185966
1,2,194501,97250,3,380467
2,1,186073,186073,4,566540
3,2,190369,95184,6,756909
4,3,192157,64052,9,949066
5,5,202312,40462,14,1151378
6,3,238063,79354,17,1389441
7,5,237578,47515,22,1627019
8,2,238096,119048,24,1865115
9,3,243830,81276,27,2108945
10,1,249256,249256,28,2358201
11,3,244612,81537,31,2602813
12,3,253036,84345,34,2855849
13,2,245066,122533,36,3100915
14,2,232374,116187,38,3333289
15,1,229989,229989,39,3563278
16,2,233578,116789,41,3796856
17,3,235482,78494,44,4032338
18,4,260314,65078,48,4292652
19,4,254700,63675,52,4547352
20,6,262048,43674,58,4809400
21,4,276519,69129,62,5085919
22,1,251780,251780,63,5337699
23,3,265329,88443,66,5603028
24,1,249940,249940,67,5852968
25,4,263301,65825,71,6116269
26,6,265441,44240,77,6381710
27,3,253825,84608,80,6635535
28,2,260674,130337,82,6896209
29,4,265311,66327,86,7161520
30,1,278186,278186,87,7439706
31,2,253445,126722,89,7693151
32,3,258999,86333,92,7952150
33,3,262096,87365,95,8214246
34,5,272021,54404,100,8486267
35,3,265407,88469,103,8751674
36,5,269517,53903,108,9021191
37,2,266958,133479,110,9288149
38,3,261635,87211,113,9549784
39,3,264459,88153,116,9814243
40,6,270389,45064,122,10084632
41,2,250675,125337,124,10335307
42,2,258453,129226,126,10593760
43,1,252082,252082,127,10845842
44,6,269105,44850,133,11114947
45,3,257804,85934,136,11372751
46,3,263544,87848,139,11636295
47,6,265535,44255,145,11901830
48,1,260581,260581,146,12162411
49,2,253624,126812,148,12416035
50,2,257643,128821,150,12673678
51,4,261740,65435,154,12935418
52,5,264696,52939,159,13200114
53,3,259240,86413,162,13459354
54,3,257314,85771,165,13716668
55,2,259457,129728,167,13976125
56,3,260557,86852,170,14236682
57,1,264189,264189,171,14500871
58,2,266392,133196,173,14767263
59,4,265500,66375,177,15032763
60,2,273087,136543,179,15305850
61,1,264345,264345,180,15570195
62,2,262295,131147,182,15832490
63,3,260605,86868,185,16093095
64,2,260811,130405,187,16353906
65,2,261482,130741,189,16615388
66,2,267253,133626,191,16882641
67,3,253351,84450,194,17135992
68,2,258560,129280,196,17394552
69,3,261910,87303,199,17656462
